track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Year
Y U Gotta B Like That,Audrey Mika,56,Y U Gotta B Like That,58,0.732,0.413,-6.353,9,0.0702,0.287,0.0,0.0565,0.761,92.066,2019
Kill the Director,The Wombats,65,"Proudly Present... A Guide to Love, Loss & Desperation",64,0.41,0.858,-5.295,1,0.0485,0.00347,0.0,0.0897,0.962,161.487,2019
Ligma,Billy Marchiafava,53,Ligma,49,0.937,0.397,-9.414,8,0.418,0.0915,0.0,0.0919,0.603,128.561,2019
Airplane Mode,Limbo,50,Holo,0,0.665,0.373,-10.631,7,0.158,0.852,0.118,0.108,0.07,119.905,2019
It's You,Ali Gatie,70,It's You,5,0.732,0.463,-6.972,11,0.0287,0.374,0.0,0.194,0.397,95.971,2019
Baby Yoda,Song a Day,25,Baby Yoda,38,0.822,0.408,-16.616,2,0.206,0.373,0.0685,0.118,0.848,160.074,2019
"Monsters, Inc.",Randy Newman,60,"Monsters, Inc. (Original Motion Picture Soundtrack)",55,0.68,0.465,-8.353,8,0.029,0.743,0.676,0.136,0.847,109.972,2019
hot girl bummer,blackbear,79,hot girl bummer,5,0.778,0.559,-7.109,6,0.0776,0.128,0.0,0.399,0.678,129.989,2019
Get Down,SIX,61,Six: The Musical (Studio Cast Recording),61,0.898,0.406,-9.905,4,0.102,0.00986,0.0,0.0509,0.39,102.985,2019
Falling,Trevor Daniel,65,Nicotine,3,0.784,0.43,-8.756,10,0.0364,0.123,0.0,0.0887,0.236,127.087,2019
successful,Ariana Grande,87,Sweetener,65,0.847,0.603,-4.607,0,0.0397,0.107,7.4e-06,0.106,0.735,114.045,2019
Chucky Cheese,MadeinTYO,62,"Sincerely, Tokyo",55,0.89,0.542,-4.826,10,0.314,0.523,0.0,0.123,0.565,78.458,2019
Sin City,Chrishan,42,Sin City,58,0.886,0.225,-11.437,4,0.457,0.676,0.0,0.0938,0.387,120.1,2019
MICKEY,Lil Yachty,75,Lil Boat 2,54,0.971,0.465,-5.655,1,0.23,0.0295,0.0,0.097,0.131,119.994,2019
Another Day Of Sun,La La Land Cast,46,La La Land (Original Motion Picture Soundtrack),64,0.588,0.742,-6.757,8,0.0528,0.0162,3.98e-06,0.653,0.824,125.819,2019
Forget Me Thots,Yung Gravy,75,Yung Gravity - EP,58,0.887,0.737,-6.489,6,0.16,0.243,4.11e-05,0.109,0.685,104.924,2019
Act Up,City Girls,67,Girl Code,67,0.938,0.638,-4.713,8,0.189,0.0167,0.0,0.111,0.313,97.075,2019
This Is for Rachel,Gxrrixon,0,This Is for Rachel,0,0.9,0.461,-14.453,8,0.515,0.161,1.78e-06,0.089,0.35,96.985,2019
Hokus Pokus,Insane Clown Posse,63,The Great Milenko,62,0.87,0.841,-5.084,11,0.0948,0.0193,7.71e-05,0.333,0.857,92.176,2019
恋愛サーキュレーション,物語シリーズ,53,Utamonogatari Special Edition (Original Soundtrack),65,0.814,0.785,-5.679,1,0.0396,0.0524,0.00111,0.111,0.941,120.009,2019
WTF,Young Spool,3,WTF,0,0.819,0.791,-5.736,8,0.324,0.372,6.22e-05,0.471,0.902,172.094,2019
223's (feat. 9lokknine),YNW Melly,73,Melly vs. Melvin,66,0.932,0.547,-7.787,0,0.333,0.0388,0.0,0.0924,0.695,94.998,2019
cheatercheaterbestfriendeater,Never Shout Never,49,Harmony,49,0.768,0.683,-7.173,7,0.0604,0.388,0.0,0.286,0.669,99.955,2019
Myself,Bazzi,72,COSMIC,67,0.745,0.561,-5.513,9,0.072,0.465,1.12e-06,0.0338,0.902,195.918,2019
Obsessed,Mariah Carey,76,Memoirs of an imperfect Angel (International Version),68,0.742,0.468,-5.557,10,0.0625,0.0465,0.0,0.826,0.369,86.443,2019
GOODMORNINGTOKYO!,TOKYO’S REVENGE,59,GOODMORNINGTOKYO!,70,0.907,0.539,-7.782,4,0.36,0.0408,0.0,0.253,0.664,124.918,2019
Walked In,Ultradiox,29,Orichalcos,42,0.891,0.538,-6.724,2,0.394,0.123,0.0,0.0848,0.643,80.032,2019
Psycho!,MASN,60,Psycho!,0,0.868,0.365,-9.51,7,0.0383,0.433,0.0,0.207,0.471,114.979,2019
You Need To Calm Down,Taylor Swift,93,Lover,76,0.771,0.671,-5.617,2,0.0553,0.00929,0.0,0.0637,0.714,85.026,2019
Moskau,Dschinghis Khan,49,7 Leben,59,0.676,0.724,-5.941,5,0.039,0.0681,9.29e-05,0.139,0.676,132.056,2019
Big Fun,Jon Eidson,44,Heathers: The Musical (World Premiere Cast Recording),54,0.864,0.681,-6.032,8,0.232,0.538,0.0,0.555,0.734,118.061,2019
Eenie Meenie,Sean Kingston,69,Eenie Meenie,74,0.72,0.607,-4.168,1,0.0322,0.0543,0.0,0.113,0.828,121.223,2019
Stereo Love,Edward Maya,64,The Stereo Love Show,18,0.771,0.728,-6.809,9,0.0359,0.0174,0.0299,0.0779,0.297,127.019,2019
Never Ever Getting Rid of Me,Christopher Fitzgerald,48,Waitress (Original Broadway Cast Recording),63,0.622,0.542,-6.215,7,0.051,0.387,0.0,0.114,0.939,174.494,2019
Wanna Be Like You,Jacob,4,Wanna Be Like You,17,0.816,0.363,-10.362,5,0.101,0.487,3.41e-06,0.205,0.595,104.274,2019
Skinny Legend Anthem,Ava Louise,32,Skinny Legend Anthem,50,0.845,0.518,-7.568,11,0.299,0.0703,0.0,0.122,0.443,129.951,2019
Material Girl,Madonna,77,Celebration (double disc version),78,0.742,0.883,-3.419,0,0.0329,0.333,7.51e-06,0.0964,0.978,136.506,2019
I Wish - Radio Edit,Skee-Lo,51,I Wish,63,0.715,0.738,-10.139,7,0.157,0.00826,0.0,0.26,0.573,97.877,2019
Oh No I Got a Disease,Buss Crew,11,Oh No I Got a Disease,26,0.649,0.735,-4.365,10,0.73,0.146,0.0,0.124,0.845,86.704,2019
Woahh,Jufu,31,Woahh,22,0.749,0.283,-12.368,0,0.328,0.618,3.73e-06,0.0825,0.269,142.046,2019
Say So,Doja Cat,88,Hot Pink,80,0.787,0.673,-4.583,11,0.159,0.264,3.35e-06,0.0904,0.779,110.962,2020
Blinding Lights,The Weeknd,93,After Hours,90,0.514,0.73,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,2020
Supalonely (feat. Gus Dapperton),BENEE,67,Hey u x,63,0.862,0.631,-4.746,7,0.0515,0.291,0.000209,0.123,0.841,128.978,2020
Savage,Megan Thee Stallion,82,Suga,70,0.843,0.741,-5.609,11,0.334,0.0252,0.0,0.096,0.68,168.983,2020
Moral of the Story,Ashe,68,Moral of the Story,76,0.572,0.406,-8.624,10,0.0427,0.587,4.48e-06,0.102,0.265,119.812,2020
Rain On Me (with Ariana Grande),Lady Gaga,84,Rain On Me (with Ariana Grande),74,0.672,0.855,-3.764,9,0.0397,0.021,0.0,0.323,0.646,123.056,2020
Babylon,Lady Gaga,84,Chromatica,64,0.698,0.799,-4.372,2,0.0342,0.0129,5.46e-06,0.215,0.351,115.957,2020
Replay,Lady Gaga,84,Chromatica,66,0.658,0.878,-3.875,1,0.123,0.00792,0.0,0.944,0.683,122.015,2020
My Oh My (feat. DaBaby),Camila Cabello,82,Romance,75,0.724,0.491,-6.024,8,0.0296,0.018,1.29e-05,0.0887,0.383,105.046,2020
Physical,Dua Lipa,88,Future Nostalgia,75,0.647,0.844,-3.756,0,0.0457,0.0137,0.000658,0.102,0.746,146.967,2020
Glitter,BENEE,67,FIRE ON MARZZ,66,0.801,0.589,-5.157,7,0.0485,0.0863,0.0,0.162,0.58,116.934,2020
Put Your Records On,Ritt Momney,60,Put Your Records On,77,0.399,0.491,-10.778,6,0.0538,0.0563,0.00089,0.11,0.151,91.066,2020
Stuck with U (with Justin Bieber),Ariana Grande,87,Stuck with U,82,0.597,0.45,-6.658,8,0.0418,0.223,0.0,0.382,0.537,178.765,2020
Break My Heart,Dua Lipa,88,Future Nostalgia,78,0.73,0.729,-3.434,4,0.0884,0.167,1.39e-06,0.349,0.467,113.011,2020
Selfish,Madison Beer,71,Life Support,66,0.375,0.461,-6.202,9,0.0279,0.627,0.0,0.386,0.233,75.217,2020
LEMONS - Demo,Brye,48,LEMONS (Demo),57,0.501,0.168,-13.682,4,0.304,0.901,0.0,0.134,0.514,82.574,2020
The Less I Know The Better,Tame Impala,78,Currents,84,0.64,0.74,-4.083,4,0.0284,0.0115,0.00678,0.167,0.785,116.879,2020
Buttercup,Jack Stauber,62,Pop Food,72,0.705,0.373,-9.066,7,0.0384,0.723,0.81,0.289,0.551,120.046,2020
Dissolve,Absofacto,56,Thousand Peaces,68,0.688,0.582,-10.668,6,0.0542,0.23,0.000157,0.0663,0.872,85.486,2020
Sunday Best,Surfaces,71,Where the Light Is,77,0.878,0.525,-6.832,5,0.0578,0.183,0.0,0.0714,0.694,112.022,2020
Airplane Mode,Limbo,50,Holo,0,0.665,0.373,-10.631,7,0.158,0.852,0.118,0.108,0.07,119.905,2020
Chinese New Year,SALES,61,Chinese New Year,66,0.744,0.845,-7.422,4,0.253,0.759,0.232,0.1,0.749,75.221,2020
LMK,Lil Xxel,51,LMK,65,0.748,0.457,-7.56,6,0.0465,0.0292,0.000294,0.444,0.464,123.035,2020
Why Is Everything Chrome (Lean Swag Rock Wit It),King Critical,29,Why Is Everything Chrome (Lean Swag Rock Wit It),46,0.915,0.392,-11.548,7,0.475,0.112,0.0,0.0319,0.675,139.94,2020
Figure It Out,Blu DeTiger,51,Figure It Out,54,0.747,0.554,-6.154,8,0.289,0.493,0.000425,0.332,0.585,96.988,2020
They Call Me Tiago (Her Name Is Margo),Tiagz,47,They Call Me Tiago (Her Name Is Margo),57,0.878,0.578,-7.581,0,0.0722,0.196,0.433,0.0965,0.148,100.996,2020
My Heart Went Oops,Tiagz,47,My Heart Went Oops,51,0.96,0.412,-11.281,1,0.607,0.119,0.0,0.0903,0.49,121.027,2020
Muffins In The Freezer,Tiagz,47,Muffins In The Freezer,47,0.965,0.412,-8.696,0,0.434,0.0778,1.12e-06,0.0867,0.486,120.03,2020
Beggin',Madcon,61,Conquest,61,0.715,0.796,-4.889,4,0.0534,0.0284,0.0,0.0658,0.431,129.04,2020
Kolors,monte booker,47,Soulection White Label - Monte Booker,56,0.718,0.403,-11.064,2,0.205,0.263,1.56e-06,0.228,0.636,129.582,2020
Play Date,Melanie Martinez,78,Cry Baby (Deluxe Edition),78,0.68,0.729,-5.077,5,0.0475,0.612,0.0,0.224,0.446,123.97,2020
Ride It,Regard,71,Ride It,81,0.88,0.751,-4.258,7,0.0874,0.177,6.43e-05,0.106,0.884,117.948,2020
No Idea,Don Toliver,78,No Idea,2,0.651,0.631,-5.717,6,0.0896,0.519,0.000579,0.165,0.35,127.994,2020
Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),Polo G,83,Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),54,0.92,0.833,-3.18,1,0.253,0.0277,0.0,0.0596,0.645,141.034,2020
Cannibal,Kesha,76,Cannibal (Expanded Edition),66,0.71,0.68,-4.676,1,0.106,0.0078,0.0165,0.0493,0.571,129.971,2020
Lottery (Renegade),K CAMP,63,Wayy 2 Kritical,56,0.915,0.556,-8.601,1,0.216,0.0145,0.000179,0.0733,0.67,148.964,2020
Bad Boy,Yung Bae,57,Bad Boy,62,0.861,0.82,-4.807,1,0.0728,0.032,4.76e-06,0.0706,0.781,118.04,2020
Hard Times,Paramore,75,After Laughter,73,0.695,0.818,-5.379,5,0.0334,0.00647,4.87e-06,0.0219,0.916,119.965,2020
death bed (coffee for your head),Powfu,71,death bed (coffee for your head),82,0.726,0.431,-8.765,8,0.135,0.731,0.0,0.696,0.348,144.026,2020
Backyard Boy,Claire Rosinkranz,63,Backyard Boy (Stripped),70,0.817,0.635,-7.246,5,0.163,0.323,0.0,0.0738,0.454,138.015,2020
cardigan,Taylor Swift,93,folklore,79,0.613,0.581,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,2020
Beef FloMix,Flo Milli,67,"Ho, why is you here ?",62,0.879,0.733,-3.953,11,0.142,0.216,0.0,0.274,0.913,117.039,2020
Psycho!,MASN,60,How To Kill A Rockstar,68,0.876,0.312,-10.17,7,0.0521,0.443,0.0,0.247,0.377,114.973,2020
Party Girl,StaySolidRocky,59,Party Girl,71,0.728,0.431,-9.966,6,0.0622,0.749,0.0,0.0996,0.629,130.022,2020
Electric Love,BØRNS,67,Dopamine,82,0.611,0.797,-7.627,6,0.0533,0.00543,0.00137,0.26,0.518,120.041,2020
Producer Man,Lyn Lapid,61,Producer Man,62,0.66,0.639,-5.364,10,0.223,0.129,0.0,0.256,0.75,173.994,2020
ily (i love you baby) (feat. Emilee),Surf Mesa,64,ily (i love you baby) (feat. Emilee),78,0.674,0.774,-7.567,11,0.0892,0.0686,0.00188,0.393,0.33,112.05,2020
Mariposa,Peach Tree Rascals,60,Mariposa,74,0.676,0.525,-5.88,9,0.028,0.617,0.0,0.356,0.421,112.011,2020
FML,Arizona Zervas,66,Living Facts,0,0.816,0.59,-5.961,2,0.121,0.0854,0.0,0.108,0.612,100.137,2020
Savage Love (Laxed - Siren Beat),Jawsh 685,63,Savage Love (Laxed - Siren Beat),77,0.767,0.481,-8.52,0,0.0803,0.234,0.0,0.269,0.761,150.076,2020
Stunnin',Curtis Waters,53,Stunnin',2,0.906,0.604,-8.332,11,0.0746,0.329,0.0,0.255,0.899,99.996,2020
Deep End,Fousheé,65,Deep End,68,0.711,0.592,-7.136,4,0.23,0.758,0.0,0.156,0.535,124.749,2020
Freak,Doja Cat,88,Freak,72,0.688,0.716,-5.702,7,0.0385,0.0969,0.0,0.0989,0.373,116.912,2020
Funny Thing,Thundercat,69,It Is What It Is,72,0.586,0.893,-8.772,7,0.439,0.827,0.642,0.212,0.65,140.023,2020
Money Trees,Kendrick Lamar,88,"good kid, m.A.A.d city",79,0.716,0.531,-7.355,7,0.122,0.0703,0.0,0.224,0.344,71.994,2020
Wait a Minute!,WILLOW,76,ARDIPITHECUS,86,0.764,0.705,-5.279,3,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,2020
Eyes Blue Like The Atlantic,Sista Prod,56,Eyes Blue Like The Atlantic,0,0.736,0.279,-16.926,9,0.903,0.65,0.000312,0.246,0.476,76.431,2020
Mood (feat. iann dior),24kGoldn,74,El Dorado,83,0.701,0.716,-3.671,7,0.0361,0.174,0.0,0.324,0.732,91.007,2020
Mad at Disney,salem ilese,66,Mad at Disney,72,0.738,0.621,-7.313,0,0.0486,0.424,7.39e-06,0.692,0.715,113.968,2020
Boss Bitch,Doja Cat,88,Boss Bitch,78,0.707,0.955,-4.593,10,0.222,0.127,0.0,0.202,0.575,125.989,2020
Falling,Trevor Daniel,66,Falling,15,0.785,0.431,-8.756,10,0.0364,0.123,0.0,0.0887,0.236,127.085,2020
Moon (And It Went Like),Kid Francescoli,56,Play Me Again,66,0.662,0.657,-10.002,7,0.0345,0.288,0.856,0.102,0.0584,117.986,2020
Just Fine,Mary J. Blige,70,Growing Pains,62,0.923,0.795,-3.61,11,0.117,0.0394,0.000565,0.101,0.588,123.021,2020
Smile,Lily Allen,67,"Alright, Still (Deluxe)",71,0.632,0.639,-5.938,5,0.0259,0.00143,0.0,0.221,0.733,95.506,2020
Bulletproof,La Roux,65,La Roux,71,0.674,0.882,-2.771,3,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,2020
Heather,Conan Gray,81,Kid Krow,86,0.357,0.425,-7.301,5,0.0333,0.584,0.0,0.322,0.27,102.078,2020
Juicy,Doja Cat,88,Hot Pink,73,0.785,0.652,-2.607,0,0.0668,0.102,0.0,0.0697,0.484,170.024,2020
Blueberry Faygo,Lil Mosey,70,Certified Hitmaker,75,0.774,0.554,-7.909,0,0.0383,0.207,0.0,0.132,0.349,99.034,2020
American Boy,Estelle,65,Shine,78,0.727,0.729,-2.99,0,0.326,0.171,0.0,0.07,0.512,117.932,2020
Can't Stop Singing,Ross Lynch,62,Teen Beach Movie,60,0.513,0.69,-4.986,0,0.0341,0.51,0.0,0.102,0.777,96.881,2020
Like That (feat. Gucci Mane),Doja Cat,88,Hot Pink,46,0.874,0.487,-6.032,2,0.194,0.237,0.0,0.0978,0.371,106.052,2020
Gimme Love,Joji,85,Nectar,65,0.484,0.632,-6.917,5,0.0976,0.695,0.0243,0.209,0.0736,126.384,2020
Mine,Bazzi,72,COSMIC,24,0.719,0.803,-3.834,4,0.0795,0.0148,4e-06,0.29,0.712,142.966,2020
What They Want,Russ,77,There's Really A Wolf,72,0.71,0.404,-10.04,1,0.379,0.484,0.0,0.0953,0.398,139.553,2020
La La La,Naughty Boy,60,La La La,58,0.754,0.677,-4.399,6,0.0316,0.112,0.0,0.111,0.254,124.988,2020
ROXANNE,Arizona Zervas,66,ROXANNE,78,0.621,0.601,-5.616,6,0.148,0.0522,0.0,0.46,0.457,116.735,2020
Homage,Mild High Club,62,Skiptracing,0,0.546,0.468,-8.167,5,0.0287,0.153,0.00257,0.321,0.416,73.372,2020
Opaul,Freddie Dredd,72,Opaul,63,0.822,0.871,-4.095,1,0.214,0.00567,0.391,0.101,0.648,145.062,2020
"Part of Your World - From ""The Little Mermaid"" / Soundtrack Version",Jodi Benson,53,The Little Mermaid,60,0.387,0.132,-15.142,5,0.0386,0.914,0.000707,0.281,0.323,100.0,2020
Relationship (feat. Future),Young Thug,84,Beautiful Thugger Girls,69,0.842,0.597,-6.336,2,0.0627,0.00252,0.0,0.124,0.298,145.992,2020
Borderline,Tame Impala,78,The Slow Rush,78,0.621,0.873,-3.067,5,0.0369,0.0406,9.1e-06,0.0824,0.873,97.96,2020
Renee,SALES,61,Renee,65,0.924,0.386,-8.183,9,0.0548,0.755,0.00253,0.118,0.424,108.957,2020
Don't Start Now,Dua Lipa,88,Don't Start Now,79,0.794,0.793,-4.521,11,0.0842,0.0125,0.0,0.0952,0.677,123.941,2020
Freak (feat. REI AMI),Sub Urban,67,Thrill Seeker,69,0.619,0.45,-11.965,7,0.515,0.433,0.0,0.513,0.41,179.755,2020
Candy,Doja Cat,88,Amala,71,0.689,0.516,-5.857,8,0.0444,0.513,0.0,0.163,0.209,124.876,2020
Ophelia,The Lumineers,76,Cleopatra,77,0.664,0.573,-6.519,5,0.0277,0.613,0.000363,0.0857,0.566,76.023,2020
Violent Crimes,Kanye West,90,ye,0,0.665,0.417,-6.731,1,0.524,0.374,0.0,0.186,0.04,110.111,2020
Someone To You,BANNERS,65,Someone To You,0,0.511,0.93,-3.649,2,0.0441,0.0056,0.0,0.242,0.673,75.01,2020
Plastic Hearts,Miley Cyrus,81,Plastic Hearts,70,0.551,0.756,-4.948,2,0.0652,0.0511,0.0,0.0765,0.618,175.984,2020
Primadonna,MARINA,73,Electra Heart,50,0.66,0.689,-2.671,4,0.0337,0.0884,0.0,0.0922,0.427,127.98,2020
Check It Out,will.i.am,72,Pink Friday (Complete Edition),53,0.848,0.694,-4.272,1,0.0572,0.0493,1.15e-05,0.105,0.728,130.075,2020
Hood Baby,KBFR,36,Hood Baby,53,0.974,0.472,-11.848,11,0.447,0.0488,0.000157,0.116,0.806,126.065,2020
Shoota (feat. Lil Uzi Vert),Playboi Carti,82,Die Lit,79,0.673,0.649,-8.433,1,0.196,0.188,0.0,0.122,0.47,153.075,2020
I Just Want to Be the One You Love,Boxout,44,I Just Want to Be the One You Love,62,0.497,0.349,-8.749,9,0.0877,0.967,0.037,0.228,0.251,140.551,2020
Make You Mine,PUBLIC,61,Make You Mine,77,0.606,0.799,-4.452,9,0.0261,0.0128,0.0,0.15,0.638,103.014,2020
To Be So Lonely,Harry Styles,91,Fine Line,73,0.758,0.436,-7.269,0,0.0418,0.618,1.61e-05,0.335,0.605,104.959,2020
Hotel Room Service,Pitbull,82,Hotel Room Service,63,0.849,0.599,-8.164,6,0.227,0.00301,0.000249,0.0763,0.761,126.003,2020
M to the B,Millie B,40,M to the B,58,0.897,0.513,-6.973,10,0.309,0.571,0.0,0.101,0.692,139.935,2020
Say So (feat. Nicki Minaj),Doja Cat,88,Say So (feat. Nicki Minaj),65,0.856,0.641,-4.64,11,0.204,0.119,4.97e-06,0.427,0.745,111.004,2020
What's My Name?,Rihanna,87,Loud,54,0.69,0.786,-2.959,2,0.0692,0.229,0.0,0.0797,0.583,100.049,2020
Whatcha Say,Jason Derulo,80,Jason Derulo (Deluxe Audio),59,0.615,0.711,-5.507,11,0.0779,0.0444,0.0,0.145,0.711,144.036,2020
Hey Julie! (feat. Lil Yachty),KYLE,66,Hey Julie! (feat. Lil Yachty),51,0.801,0.505,-5.829,11,0.293,0.0446,9.52e-06,0.122,0.757,161.059,2020
Crush,Tessa Violet,56,Bad Ideas,65,0.91,0.402,-9.55,1,0.0857,0.0297,0.00018,0.0801,0.825,135.993,2020
Mr. Blue Sky,Electric Light Orchestra,70,Out of the Blue,80,0.388,0.338,-10.054,10,0.0329,0.652,3.73e-06,0.248,0.478,177.765,2020
Myron,Lil Uzi Vert,85,Eternal Atake (Deluxe) - LUV vs. The World 2,73,0.771,0.654,-6.976,8,0.298,0.055,0.0,0.214,0.573,155.047,2020
I'm Looking for Mrs. Bubblegum,Memetown,20,I'm Looking for Mrs. Bubblegum,29,0.977,0.39,-10.025,1,0.302,0.214,6.06e-06,0.058,0.962,124.036,2020
Partition,Beyoncé,89,BEYONCÉ [Platinum Edition],71,0.418,0.441,-11.522,11,0.283,0.029,0.0707,0.306,0.172,175.928,2020
Lets Link,WhoHeem,48,Lets Link,1,0.839,0.683,-9.232,10,0.165,0.00667,0.0,0.241,0.522,120.003,2020
Are You Bored Yet? (feat. Clairo),Wallows,71,Nothing Happens,79,0.682,0.683,-6.444,8,0.0287,0.156,2.32e-05,0.273,0.64,120.023,2020
Trampoline,SHAED,59,MELT,64,0.689,0.412,-7.523,7,0.0301,0.488,0.00016,0.0659,0.537,126.754,2020
Paper Planes,M.I.A.,67,Kala,77,0.447,0.848,-6.175,2,0.222,0.033,7.46e-05,0.65,0.485,172.253,2020
She Belongs to the Streets (Toxic),Rontae Don't Play,24,She Belongs to the Streets (Toxic),39,0.893,0.296,-15.774,1,0.907,0.00348,0.0,0.176,0.321,130.145,2020
OUT WEST (feat. Young Thug),JACKBOYS,65,JACKBOYS,77,0.802,0.591,-4.895,8,0.225,0.0104,0.0,0.196,0.309,139.864,2020
Breathe,Years & Years,70,Take Shelter,62,0.746,0.486,-7.004,10,0.0344,0.222,1.41e-06,0.123,0.417,92.057,2020
Yellow Hearts,Ant Saunders,52,Yellow Hearts,68,0.866,0.438,-8.943,7,0.0719,0.177,0.0,0.0743,0.695,129.039,2020
Needs,Verzache,61,Needs,68,0.813,0.601,-7.552,11,0.116,0.189,0.0002,0.426,0.855,118.981,2020
"Sofia the First Main Title Theme - From ""Sofia the First""",Cast - Sofia the First,44,Sofia the First,54,0.655,0.789,-3.995,4,0.0489,0.423,0.0,0.13,0.66,92.968,2020
Mi Pan Su Su Sum,Miel Pops,0,Mi Pan Su Su Sum,0,0.696,0.375,-7.543,3,0.493,0.27,0.0,0.269,0.688,101.073,2020
Wasabi,Little Mix,77,LM5 (Deluxe),66,0.847,0.656,-4.976,2,0.115,0.00451,0.000854,0.143,0.234,114.001,2020
CITY OF ANGELS,24kGoldn,74,DROPPED OUTTA COLLEGE,72,0.686,0.541,-4.993,0,0.0493,0.042,0.0,0.0675,0.724,120.082,2020
Rags to Riches,YoungBoy Never Broke Again,84,Until Death Call My Name (Reloaded),47,0.763,0.604,-5.754,1,0.114,0.0838,0.0,0.261,0.18,147.893,2020
Hatchback,Cochise,68,Hatchback,62,0.734,0.692,-6.227,2,0.0555,0.0221,0.0,0.224,0.348,77.994,2020
VIBEZ,DaBaby,82,KIRK,71,0.768,0.652,-2.708,1,0.307,0.113,0.0,0.107,0.777,154.187,2020
Obnimi (Remix),Okean Elzi,46,Obnimi (Remix),64,0.714,0.845,-4.234,7,0.0856,0.199,0.00762,0.372,0.51,75.985,2020
All About Cake (feat. Coi Leray & Kaash Paige),KyleYouMadeThat,37,All About Cake,30,0.905,0.521,-4.318,1,0.443,0.213,3.87e-05,0.175,0.533,131.115,2020
Lose Control,MEDUZA,74,Lose Control,78,0.598,0.526,-8.659,10,0.0415,0.129,0.0,0.14,0.529,123.935,2020
Coño,Puri,56,Coño,60,0.847,0.573,-6.032,0,0.253,0.00739,0.0149,0.0845,0.332,99.919,2020
Grow A Pear,Kesha,76,Cannibal (Expanded Edition),60,0.863,0.667,-3.891,0,0.0508,0.0154,0.000341,0.125,0.892,120.011,2020
Say So - Japanese Version,Rainych,51,Say So (Japanese Version),59,0.732,0.668,-6.768,2,0.0444,0.775,5.23e-06,0.224,0.705,111.001,2020
Photo ID,Remi Wolf,65,I'm Allergic To Dogs!,63,0.822,0.66,-3.637,1,0.0819,0.111,0.0,0.143,0.802,113.956,2020
TROLLZ (with Nicki Minaj),6ix9ine,71,TROLLZ (with Nicki Minaj),5,0.744,0.422,-8.946,1,0.294,0.0319,0.00011,0.11,0.493,180.006,2020
Working Bitch,Ashnikko,69,"Hi, It's Me",58,0.928,0.392,-7.537,3,0.0563,0.0374,0.0,0.107,0.454,102.023,2020
Like That (feat. Gucci Mane),Doja Cat,88,Hot Pink,75,0.879,0.498,-6.027,4,0.18,0.239,0.0,0.0967,0.405,106.044,2020
Rags2Riches 2 (feat. Lil Baby),Rod Wave,78,Pray 4 Love (Deluxe),4,0.874,0.443,-9.628,5,0.241,0.147,0.0,0.124,0.298,118.004,2020
Work Out,J. Cole,84,Cole World: The Sideline Story,80,0.831,0.427,-6.903,2,0.106,0.0531,0.0,0.307,0.216,93.004,2020
The Box,Roddy Ricch,80,Please Excuse Me for Being Antisocial,81,0.896,0.586,-6.687,10,0.0559,0.104,0.0,0.79,0.642,116.971,2020
Calabria 2008,Enur,51,Raggatronic,54,0.891,0.657,-5.552,10,0.165,0.00833,0.0026,0.054,0.453,125.995,2020
Lalala,Y2K,63,Lalala,75,0.843,0.39,-7.899,2,0.0846,0.178,0.0,0.137,0.495,129.972,2020
Ben 10 - Theme Song,Kids Superstars,42,"Cartoon Heroes, Vol. 5",33,0.738,0.799,-7.036,7,0.0556,0.249,0.0,0.35,0.882,142.094,2020
The Dice Beat Pt. 1,Ricky Desktop,55,The Dice Beat Pt. 1,34,0.946,0.269,-10.061,1,0.567,0.018,0.068,0.108,0.0999,125.95,2020
Crimewave,Crystal Castles,66,Crystal Castles,66,0.746,0.691,-7.533,4,0.0403,0.184,0.0259,0.205,0.888,119.982,2020
Mr. Sandman,The Chordettes,52,The Chordettes' Best,56,0.616,0.426,-8.399,9,0.0421,0.634,0.0,0.0695,0.589,110.395,2020
Toy,Netta,51,Toy,64,0.786,0.712,-5.349,3,0.0678,0.0706,0.0,0.236,0.795,130.144,2020
Tonight You Belong To Me,Patience & Prudence,39,The Best Of Patience & Prudence,52,0.68,0.32,-7.544,10,0.0289,0.954,0.0,0.0948,0.769,108.07,2020
It Won't Stop (feat. Chris Brown) - EP Version,Sevyn Streeter,60,"Call Me Crazy, But...",69,0.657,0.574,-9.484,1,0.0407,0.016,8.1e-05,0.172,0.211,119.992,2020
All I Want,Olivia Rodrigo,85,High School Musical: The Musical: The Series (Original Soundtrack),75,0.376,0.43,-6.585,0,0.0328,0.0902,0.0,0.0912,0.129,77.599,2020
Stronger,Kanye West,90,Graduation,20,0.617,0.717,-7.858,10,0.153,0.00564,0.0,0.408,0.49,103.992,2020
After Party,Don Toliver,78,Heaven Or Hell,80,0.629,0.692,-8.045,5,0.0376,0.00981,0.331,0.603,0.453,162.948,2020
